"A6";"A10";"A13";"A16";"A18";"A20";"A21";"A22";"A23";"A37";"A40"
"key";"uncoated";"line";821;"tabloid";1910;52,5;62;0,433;35;"band"
"key";"uncoated";"line";816;"catalog";1910;45;65;0,3;40;"band"
"key";"uncoated";"line";813;"catalog";1911;60;38;0,333;40;"noband"
"key";"coated";"line";813;"catalog";1910;40;54;0,233;33;"noband"
"key";"uncoated";"line";816;"tabloid";1910;40;58;0,267;40;"noband"
"key";"uncoated";"line";802;"catalog";1910;60;53;0,3;35;"noband"
"key";"coated";"line";816;"spiegel";1910;32,5;47;0,2;40;"noband"
"key";"uncoated";"xylol";816;"catalog";1911;60;56;0,3;40;"band"
"key";"uncoated";"line";815;"catalog";1910;50;58;0,367;35;"band"
"key";"coated";"line";827;"tabloid";1911;40;42;0,2;40;"band"
"key";"uncoated";"line";802;"catalog";1910;50;55;0,233;40;"noband"
"key";"coated";"line";816;"tabloid";1910;35;43;0,367;40;"band"
"key";"coated";"line";824;"tabloid";1910;40;46;0,2;40;"noband"
"key";"coated";"line";828;"tabloid";1911;35;44;0,2;40;"band"
"key";"uncoated";"line";802;"catalog";1910;40;45;0,233;40;"band"
"key";"uncoated";"line";821;"tabloid";1911;40;45;0,3;40;"band"
"key";"uncoated";"line";824;"tabloid";1911;40;40;0,35;40;"band"
"key";"coated";"line";816;"tabloid";1910;35;43;0,367;40;"band"
"key";"coated";"line";815;"spiegel";1911;40;35;0,233;40;"noband"
"key";"coated";"line";827;"tabloid";1911;40;47;0,2;40;"noband"
"key";"uncoated";"line";816;"catalog";1911;40;54;0,2;40;"noband"
"key";"uncoated";"line";816;"tabloid";1910;55;48;0,233;40;"band"
"key";"coated";"line";827;"spiegel";1910;47,5;68;0,4;40;"band"
"key";"coated";"line";827;"tabloid";1910;45;55;0,3;33;"noband"
"key";"coated";"line";828;"tabloid";1910;40;56;0,3;40;"noband"
"key";"uncoated";"line";821;"tabloid";1911;57,5;51;0,267;30;"noband"
"key";"uncoated";"line";827;"tabloid";1910;40;39;0,2;40;"noband"
"key";"uncoated";"line";816;"catalog";1911;55;44;0,2;40;"band"
"key";"coated";"line";816;"spiegel";1910;37,5;40;0,2;40;"noband"
"key";"coated";"line";816;"spiegel";1911;40;50;0,3;40;"noband"
"key";"coated";"line";821;"tabloid";1911;40;49;0,3;40;"band"
"key";"coated";"line";816;"tabloid";1910;35;43;0,367;40;"band"
"key";"coated";"line";824;"tabloid";1910;40;62;0,3;40;"noband"
"key";"uncoated";"line";802;"catalog";1910;60;50;0,3;40;"noband"
"key";"uncoated";"line";802;"catalog";1910;32;42;0,233;40;"noband"
"key";"coated";"line";824;"tabloid";1910;30;54;0,167;35;"noband"
"key";"coated";"line";827;"spiegel";1911;40;41;0,2;40;"band"
"key";"coated";"line";824;"tabloid";1910;30;54;0,167;35;"noband"
"key";"uncoated";"line";815;"catalog";1910;60;58;0,333;35;"band"
"key";"coated";"line";827;"tabloid";1910;50;40;0,233;40;"noband"
"key";"coated";"line";821;"tabloid";1911;45;58;0,2;40;"noband"
"key";"uncoated";"line";802;"catalog";1910;65;61;0,367;35;"noband"
"key";"coated";"line";824;"tabloid";1910;40;64;0,2;40;"noband"
"key";"uncoated";"line";821;"tabloid";1911;55;56;0,233;40;"band"
"key";"coated";"line";821;"tabloid";1911;45;58;0,2;40;"noband"
"key";"coated";"line";816;"spiegel";1910;37,5;40;0,2;40;"noband"
"key";"uncoated";"line";802;"catalog";1910;60;53;0,333;35;"noband"
"key";"uncoated";"line";821;"tabloid";1911;40;45;0,3;40;"band"
"key";"coated";"line";815;"tabloid";1910;52,5;54;0,433;35;"noband"
"key";"coated";"line";815;"tabloid";1910;40;38;0,3;33;"noband"
"key";"uncoated";"line";813;"catalog";1910;52,5;37;0,233;40;"noband"
"key";"coated";"line";827;"tabloid";1910;50;40;0,3;40;"noband"
"key";"coated";"line";824;"tabloid";1911;35;48;0,233;40;"noband"
"key";"uncoated";"line";821;"tabloid";1911;50;46;0,2;40;"band"
"key";"coated";"line";824;"tabloid";1910;42,5;48;0,2;40;"noband"
"key";"uncoated";"line";816;"catalog";1911;47,5;65;0,2;40;"noband"
"key";"uncoated";"line";816;"tabloid";1910;40;60;0,2;40;"band"
"key";"uncoated";"line";802;"catalog";1910;40;60;0,2;40;"noband"
"key";"uncoated";"line";827;"tabloid";1910;40;48;0,3;33;"noband"
"key";"coated";"line";813;"catalog";1910;40;54;0,267;33;"noband"
"key";"uncoated";"line";815;"catalog";1911;50;60;0,3;40;"band"
"key";"uncoated";"line";827;"tabloid";1911;45;41;0,333;40;"band"
"key";"uncoated";"line";816;"tabloid";1910;37,5;43;0,2;40;"noband"
"key";"coated";"line";816;"tabloid";1910;40;64;0,233;40;"noband"
"key";"uncoated";"line";816;"catalog";1910;65;50;0,267;40;"noband"
"key";"uncoated";"line";821;"tabloid";1910;52,5;43;0,267;40;"band"
"key";"uncoated";"line";827;"tabloid";1911;45;41;0,333;40;"band"
"key";"coated";"line";815;"catalog";1910;45;61;0,2;40;"band"
"key";"coated";"line";824;"tabloid";1911;35;56;0,2;40;"noband"
"key";"coated";"line";828;"tabloid";1910;40;54;0,333;35;"noband"
"key";"uncoated";"line";821;"tabloid";1910;40;44;0,2;40;"noband"
"key";"coated";"line";815;"tabloid";1910;45;42;0,233;35;"noband"
"key";"uncoated";"line";816;"tabloid";1911;32,5;43;0,2;40;"noband"
"key";"uncoated";"line";802;"catalog";1910;50;50;0,2;40;"noband"
"key";"uncoated";"line";824;"tabloid";1911;40;40;0,35;40;"band"
"key";"coated";"line";815;"tabloid";1910;55,5;54;0,233;35;"noband"
"key";"coated";"line";813;"catalog";1910;40;54;0,267;33;"noband"
"key";"uncoated";"line";815;"catalog";1910;40;41;0,267;40;"noband"
"key";"uncoated";"xylol";802;"catalog";1910;50;45;0,367;40;"band"
"key";"uncoated";"line";802;"catalog";1911;37,5;65;0,2;40;"band"
"key";"uncoated";"line";802;"catalog";1911;40;65;0,2;40;"band"
"key";"uncoated";"line";816;"spiegel";1910;42;42;0,267;40;"band"
"key";"uncoated";"xylol";816;"catalog";1910;50;50;0,3;33;"band"
"key";"coated";"line";815;"spiegel";1910;30;58;0,433;35;"noband"
"key";"coated";"line";828;"tabloid";1910;30;56;0,283;40;"noband"
"key";"coated";"line";824;"tabloid";1910;47;67;0,4;40;"noband"
"key";"coated";"line";815;"spiegel";1911;45;54;0,267;40;"noband"
"key";"uncoated";"line";815;"catalog";1910;40;65;0,267;40;"band"
"key";"coated";"line";816;"tabloid";1911;40;40;0,3;40;"band"
"key";"uncoated";"line";821;"tabloid";1911;55;53;0,3;40;"band"
"key";"uncoated";"line";827;"spiegel";1911;45;42;0,333;40;"noband"
"key";"uncoated";"line";821;"tabloid";1911;40;47;0,2;40;"band"
"key";"coated";"line";815;"tabloid";1910;55,5;54;0,233;35;"noband"
"key";"coated";"line";816;"tabloid";1910;40;56;0,233;40;"band"
"key";"coated";"line";815;"spiegel";1910;45;54;0,367;35;"noband"
"key";"coated";"line";813;"catalog";1911;55;56;0,4;40;"noband"
"key";"uncoated";"line";821;"tabloid";1910;55;49;0,233;37;"band"
"key";"uncoated";"line";827;"tabloid";1910;42,5;58;0,4;40;"band"
"key";"uncoated";"line";827;"tabloid";1911;47,5;41;0,233;40;"band"
"key";"uncoated";"line";824;"tabloid";1911;40;40;0,35;40;"band"
"key";"uncoated";"line";802;"catalog";1910;40;43;0,2;40;"noband"
"key";"coated";"line";815;"tabloid";1910;50;62;0,4;40;"noband"
"key";"coated";"line";815;"tabloid";1910;55,5;54;0,233;35;"noband"
"key";"uncoated";"line";816;"spiegel";1910;40;42;0,2;40;"noband"
"key";"coated";"line";821;"tabloid";1910;55;37;0,267;40;"noband"
"key";"coated";"line";815;"spiegel";1910;30;58;0,433;35;"noband"
"key";"uncoated";"line";813;"catalog";1911;60;48;0,4;40;"noband"
"key";"uncoated";"line";815;"catalog";1911;65;43;0,333;40;"noband"
"key";"uncoated";"line";821;"tabloid";1910;65;50;0,2;40;"noband"
"key";"uncoated";"line";828;"tabloid";1910;65;42;0,233;40;"noband"
"key";"uncoated";"line";815;"tabloid";1911;35;62;0,4;40;"band"
"key";"coated";"line";824;"tabloid";1911;35;56;0,233;40;"noband"
"key";"coated";"line";815;"tabloid";1911;30;63;0,3;40;"band"
"key";"uncoated";"line";815;"catalog";1910;40;68;0,2;40;"band"
"key";"coated";"line";813;"catalog";1911;30;42;0,2;40;"noband"
"key";"uncoated";"line";816;"catalog";1910;55;54;0,3;35;"noband"
"key";"uncoated";"line";816;"catalog";1910;47,5;63;0,3;33;"band"
"key";"coated";"line";827;"tabloid";1910;30;58;0,467;35;"noband"
"key";"uncoated";"line";827;"tabloid";1910;45;44;0,3;40;"noband"
"key";"coated";"line";824;"tabloid";1910;30;54;0,5;35;"noband"
"key";"uncoated";"line";821;"tabloid";1910;52,5;62;0,433;35;"band"
"key";"uncoated";"line";816;"catalog";1910;52;40;0,3;40;"noband"
"key";"uncoated";"xylol";816;"catalog";1911;60;56;0,3;40;"band"
"key";"coated";"line";816;"tabloid";1910;45;53;0,3;35;"noband"
